APressure,Conveyor,Crane,DSortation,Dark,Light,Metal,PPU,Plastic,SPressure,SRouting,SSortation,Slide,Stamp,Straight,Type,Workpiece
false,true,true,true,false,false,true,true,false,false,true,false,true,false,false,true,true
true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true
false,true,true,false,true,false,false,true,true,false,true,true,true,false,false,true,true
true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true
false,true,true,false,false,false,true,true,false,true,true,true,true,true,false,true,true
false,false,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true
true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true
false,true,true,true,true,false,false,true,true,false,true,false,true,false,false,true,true
false,false,true,false,true,false,false,true,true,false,true,false,true,false,true,true,true
false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
false,false,true,false,false,false,true,true,false,true,true,false,true,true,true,true,true
true,false,true,false,false,false,true,true,false,false,true,false,true,true,true,true,true
